,Authority,Aluminium cans,Co mingled materials,Composite food and beverage cartons,HDPE [2],Mixed Plastic Bottles,Mixed cans,Mixed glass,Plastics,Steel cans,sum_dry_rec,DRS Ferrous Cans,DRS Aluminium Cans,DRS Glass Bottles,DRS Plastic Bottles
0,Blaenau Gwent CBC,,7111.5,,,,,,,,7111.5,,,,
1,Bridgend CBC,172.44,,,,,,3206.88,1498.68,513.14,10763.07,92.3652,137.952,2116.5408,1019.1024
2,Caerphilly CBC,,17828.17,,,,,,,,17828.17,,,,
3,Cardiff County Council,,32416.59,,8.98,,,,,,32774.61,,,,
4,Carmarthenshire County Council,,13012.69,,,,,,,,13012.69,,,,
5,Ceredigion County Council,,5418.42,,,,,,,,5424.04,,,,
6,City  and County of Swansea ,,15855.87,,,,,,3599.84,,19455.71,,,,2051.9088
7,Conwy CBC,,,,,,547.92,3119.25,1066.46,,8979.32,71.996688,118.35072,2058.705,725.1928
8,Denbighshire County Council,,9720.21,,,,,,,,9720.21,,,,
9,Flintshire County Council,165.22,12.24,,,1163.0,,3749.76,,413.9,10907.81,74.502,132.176,2474.8416,1116.48
10,Gwynedd Council,94.63,,17.82,,805.62,,3174.23,24.82,428.36,8570.59,77.1048,75.704,2094.9918,773.3952
11,Isle of Anglesey CC,,,,,493.68,307.03,1711.6,,,4496.97,40.343742,66.31848,1129.656,473.9328
12,Merthyr Tydfil CBC,,6093.504,,,,,,,,6093.504,,,,
13,Monmouthshire CC,,10836.98,,,,,,,,10836.98,,,,
14,Neath Port Talbot CBC,,,,,556.0,84.0,3139.0,724.0,,10407.4,,,2071.74,533.76
15,Newport City Council,242.85,,,,984.06,,3689.12,952.04,567.04,11339.28,102.0672,194.28,2434.8192,944.6976
16,Pembrokeshire County Council,,8697.85,,,,,2322.24,,,11020.09,,,1532.6784,
17,Powys County Council,,1767.754,,,,0.42,3611.444,194.779,,10273.281,,,2383.55304,132.44972
18,Rhondda Cynon Taff CBC,,4762.3,23.89,,,1461.95,7217.65,3991.24,,32346.86,192.10023,315.7812,4763.649,2714.0432
19,Torfaen CBC,133.48,,,,,,2079.91,817.63,386.49,6283.59,69.5682,106.784,1372.7406,555.9884
20,Vale of Glamorgan Council,,12563.1,,,,,,,,12563.1,,,,
21,Wrexham CBC,,8261.7,,,,,,,,8261.7,,,,
