,Authority,Aluminium cans,Co mingled materials,Composite food and beverage cartons,HDPE [2],Mixed Plastic Bottles,Mixed cans,Mixed glass,Plastics,Steel cans,sum_dry_rec,DRS Ferrous Cans,DRS Aluminium Cans,DRS Glass Bottles,DRS Plastic Bottles,DRS Beverage Cartons
0,Blaenau Gwent CBC,,7111.5,,,,,,,,7111.5,71.82615,120.04212,1137.84,475.75935,22.04565
1,Bridgend CBC,172.44,,,,,,3206.88,1498.68,513.14,10763.07,92.3652,137.952,2116.5408,1019.1024,33.365517
2,Caerphilly CBC,,17828.17,,,,,,,,17828.17,180.064517,300.9395096,2852.5072,1192.704573,55.267327
3,Cardiff County Council,,32416.59,,8.98,,,,,,32774.61,331.023561,553.2354168,5243.9376,2192.621409,101.601291
4,Carmarthenshire County Council,,13012.69,,,,,,,,13012.69,131.428169,219.6542072,2082.0304,870.548961,40.339339
5,Ceredigion County Council,,5418.42,,,,,,,,5424.04,54.782804,91.5577952,867.8464,362.868276,16.814524
6,City  and County of Swansea ,,15855.87,,,,,,3599.84,,19455.71,196.502671,328.4123848,3112.9136,2051.9088,60.312701
7,Conwy CBC,,,,,,547.92,3119.25,1066.46,,8979.32,71.996688,118.35072,2058.705,725.1928,27.835892
8,Denbighshire County Council,,9720.21,,,,,,,,9720.21,98.174121,164.0771448,1555.2336,650.282049,30.132651
9,Flintshire County Council,165.22,12.24,,,1163.0,,3749.76,,413.9,10907.81,74.502,132.176,2474.8416,1116.48,33.814211
10,Gwynedd Council,94.63,,17.82,,805.62,,3174.23,24.82,428.36,8570.59,77.1048,75.704,2094.9918,773.3952,17.82
11,Isle of Anglesey CC,,,,,493.68,307.03,1711.6,,,4496.97,40.343742,66.31848,1129.656,473.9328,13.940607
12,Merthyr Tydfil CBC,,6093.504,,,,,,,,6093.504,61.5443904,102.85834752,974.96064,407.6554176,18.8898624
13,Monmouthshire CC,,10836.98,,,,,,,,10836.98,109.453498,182.9282224,1733.9168,724.993962,33.594638
14,Neath Port Talbot CBC,,,,,556.0,84.0,3139.0,724.0,,10407.4,105.11474,175.676912,2071.74,533.76,32.26294
15,Newport City Council,242.85,,,,984.06,,3689.12,952.04,567.04,11339.28,102.0672,194.28,2434.8192,944.6976,35.151768
16,Pembrokeshire County Council,,8697.85,,,,,2322.24,,,11020.09,111.302909,186.0191192,1532.6784,737.244021,34.162279
17,Powys County Council,,1767.754,,,,0.42,3611.444,194.779,,10273.281,103.7601381,173.41298328,2383.55304,132.44972,31.8471711
18,Rhondda Cynon Taff CBC,,4762.3,23.89,,,1461.95,7217.65,3991.24,,32346.86,192.10023,315.7812,4763.649,2714.0432,23.89
19,Torfaen CBC,133.48,,,,,,2079.91,817.63,386.49,6283.59,69.5682,106.784,1372.7406,555.9884,19.479129
20,Vale of Glamorgan Council,,12563.1,,,,,,,,12563.1,126.88731,212.065128,2010.096,840.47139,38.94561
21,Wrexham CBC,,8261.7,,,,,,,,8261.7,83.44317,139.457496,1321.872,552.70773,25.61127
